TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C1+C2+,Zm00001d036648,0.882577,0.892133
Zm00001d010987,C1+C2+,Zm00001d035512,0.955206,0.936881
Zm00001d010987,C1+C2+,Zm00001d028265,0.910011,0.872857
Zm00001d010987,C1+C2+,Zm00001d018421,0.899048,0.868625
Zm00001d032144,C1+C2+,Zm00001d044168,0.934145,0.944943
Zm00001d024468,C1+C2+,Zm00001d017595,0.922491,0.872318
Zm00001d024468,C1+C2+,Zm00001d052087,0.859603,0.859229
Zm00001d024468,C1+C2+,Zm00001d031533,0.904406,0.858669
Zm00001d024468,C1+C2+,Zm00001d023565,0.856859,0.843913
Zm00001d020540,C1+C2+,Zm00001d000358,0.988234,0.886998
Zm00001d020540,C1+C2+,Zm00001d011745,0.972396,0.900197
Zm00001d020540,C1+C2+,Zm00001d043248,0.856220,0.913415
Zm00001d020540,C1+C2+,Zm00001d017908,0.978163,0.881611
Zm00001d020540,C1+C2+,Zm00001d018119,0.888621,0.906875
Zm00001d020540,C1+C2+,Zm00001d021164,0.853650,0.867141
Zm00001d020540,C1+C2+,Zm00001d047999,0.857698,0.896484
Zm00001d020540,C1+C2+,Zm00001d007382,0.948596,0.952994
Zm00001d020540,C1+C2+,Zm00001d009778,0.962802,0.895011
Zm00001d020540,C1+C2+,Zm00001d012719,0.905354,0.951619
Zm00001d020540,C1+C2+,Zm00001d024285,0.961126,0.840832
Zm00001d020540,C1+C2+,Zm00001d043420,0.845437,0.892204
Zm00001d020540,C1+C2+,Zm00001d016154,0.894893,0.953695
Zm00001d020540,C1+C2+,Zm00001d031759,0.840639,0.906633
Zm00001d020540,C1+C2+,Zm00001d004497,0.880860,0.877232
Zm00001d020540,C1+C2+,Zm00001d032922,0.921203,0.954231
Zm00001d020540,C1+C2+,Zm00001d017939,0.873352,0.908397
Zm00001d020540,C1+C2+,Zm00001d037327,0.971255,0.875887
Zm00001d020540,C1+C2+,Zm00001d045661,0.971182,0.908913
Zm00001d020540,C1+C2+,Zm00001d017412,0.935928,0.933949
Zm00001d020540,C1+C2+,Zm00001d013724,0.930424,0.910335
Zm00001d020540,C1+C2+,Zm00001d047802,0.981233,0.943136
Zm00001d020540,C1+C2+,Zm00001d046501,0.889886,0.911063
Zm00001d020540,C1+C2+,Zm00001d046354,0.977803,0.929375
Zm00001d020540,C1+C2+,Zm00001d006744,0.961083,0.918504
Zm00001d020540,C1+C2+,Zm00001d021998,0.981628,0.876114
Zm00001d020540,C1+C2+,Zm00001d028304,0.841178,0.887921
Zm00001d020540,C1+C2+,Zm00001d019477,0.884183,0.852085
Zm00001d020540,C1+C2+,Zm00001d018065,0.899603,0.939424
Zm00001d020540,C1+C2+,Zm00001d016952,0.939428,0.961462
