TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d026448,C1-C2+,Zm00001d051239,-0.765001,0.911644
Zm00001d026005,C1-C2+,Zm00001d025141,-0.792660,0.903774
Zm00001d026005,C1-C2+,Zm00001d005029,-0.857459,0.866220
Zm00001d026005,C1-C2+,Zm00001d015487,-0.786698,0.942801
Zm00001d049800,C1-C2+,Zm00001d049991,-0.877811,0.861430
Zm00001d006677,C1-C2+,Zm00001d029242,-0.811884,0.871715
Zm00001d021927,C1-C2+,Zm00001d025141,-0.819523,0.898223
Zm00001d021927,C1-C2+,Zm00001d005029,-0.810651,0.895688
Zm00001d021927,C1-C2+,Zm00001d012255,-0.771938,0.883743
Zm00001d021927,C1-C2+,Zm00001d011645,-0.781815,0.869180
Zm00001d021927,C1-C2+,Zm00001d035457,-0.760592,0.871318
Zm00001d021927,C1-C2+,Zm00001d016052,-0.807529,0.847647
Zm00001d027419,C1-C2+,Zm00001d025141,-0.854542,0.910461
Zm00001d027419,C1-C2+,Zm00001d038863,-0.837649,0.862758
Zm00001d027419,C1-C2+,Zm00001d018158,-0.750577,0.847233
Zm00001d027419,C1-C2+,Zm00001d014201,-0.802071,0.897358
Zm00001d027419,C1-C2+,Zm00001d012255,-0.888986,0.882789
Zm00001d028504,C1-C2+,Zm00001d025477,-0.778813,0.852211
Zm00001d028504,C1-C2+,Zm00001d005029,-0.839551,0.848234
Zm00001d028504,C1-C2+,Zm00001d029242,-0.852150,0.868516
Zm00001d032213,C1-C2+,Zm00001d025141,-0.847737,0.861549
Zm00001d032213,C1-C2+,Zm00001d029242,-0.759829,0.855808
Zm00001d034596,C1-C2+,Zm00001d025141,-0.846208,0.886208
Zm00001d034596,C1-C2+,Zm00001d014201,-0.784764,0.877200
Zm00001d024522,C1-C2+,Zm00001d021826,-0.753394,0.879320
Zm00001d025141,C1-C2+,Zm00001d026005,-0.792660,0.903774
Zm00001d025141,C1-C2+,Zm00001d021927,-0.819523,0.898223
Zm00001d025141,C1-C2+,Zm00001d027419,-0.854542,0.910461
Zm00001d025141,C1-C2+,Zm00001d032213,-0.847737,0.861549
Zm00001d025141,C1-C2+,Zm00001d034596,-0.846208,0.886208
Zm00001d025141,C1-C2+,Zm00001d043699,-0.822834,0.935162
Zm00001d025141,C1-C2+,Zm00001d050394,-0.783044,0.901235
Zm00001d025141,C1-C2+,Zm00001d017138,-0.753167,0.848812
Zm00001d025141,C1-C2+,Zm00001d039383,-0.786488,0.976882
Zm00001d025141,C1-C2+,Zm00001d028537,-0.795139,0.941408
Zm00001d025141,C1-C2+,Zm00001d036297,-0.752087,0.853186
Zm00001d025141,C1-C2+,Zm00001d003162,-0.858062,0.970167
Zm00001d025141,C1-C2+,Zm00001d025957,-0.751763,0.840657
Zm00001d025141,C1-C2+,Zm00001d012963,-0.821744,0.849365
Zm00001d025141,C1-C2+,Zm00001d017788,-0.849841,0.928618
Zm00001d025141,C1-C2+,Zm00001d038693,-0.769758,0.984266
Zm00001d025141,C1-C2+,Zm00001d010740,-0.895230,0.978387
Zm00001d025141,C1-C2+,Zm00001d044899,-0.879289,0.939638
Zm00001d025141,C1-C2+,Zm00001d043837,-0.782971,0.992565
Zm00001d025141,C1-C2+,Zm00001d038270,-0.822847,0.872521
Zm00001d025141,C1-C2+,Zm00001d038338,-0.765941,0.963799
Zm00001d025141,C1-C2+,Zm00001d030737,-0.849240,0.848726
Zm00001d025141,C1-C2+,Zm00001d042580,-0.794995,0.981360
Zm00001d025141,C1-C2+,Zm00001d018806,-0.814114,0.943149
Zm00001d025141,C1-C2+,Zm00001d025896,-0.893392,0.980812
Zm00001d043699,C1-C2+,Zm00001d025141,-0.822834,0.935162
Zm00001d043699,C1-C2+,Zm00001d025477,-0.762240,0.889876
Zm00001d043699,C1-C2+,Zm00001d011645,-0.828542,0.863731
Zm00001d043699,C1-C2+,Zm00001d016052,-0.778328,0.846887
Zm00001d044216,C1-C2+,Zm00001d053775,-0.849543,0.843309
Zm00001d044242,C1-C2+,Zm00001d014201,-0.784689,0.948203
Zm00001d050394,C1-C2+,Zm00001d025141,-0.783044,0.901235
Zm00001d017138,C1-C2+,Zm00001d025141,-0.753167,0.848812
Zm00001d018119,C1-C2+,Zm00001d038863,-0.808752,0.878214
Zm00001d038863,C1-C2+,Zm00001d027419,-0.837649,0.862758
Zm00001d038863,C1-C2+,Zm00001d018119,-0.808752,0.878214
Zm00001d038863,C1-C2+,Zm00001d044546,-0.761425,0.952666
Zm00001d038863,C1-C2+,Zm00001d039383,-0.828538,0.953538
Zm00001d038863,C1-C2+,Zm00001d028537,-0.775364,0.891327
Zm00001d038863,C1-C2+,Zm00001d045661,-0.750180,0.952083
Zm00001d038863,C1-C2+,Zm00001d003162,-0.760138,0.961451
Zm00001d038863,C1-C2+,Zm00001d010740,-0.757549,0.965429
Zm00001d038863,C1-C2+,Zm00001d045398,-0.754395,0.920847
Zm00001d038863,C1-C2+,Zm00001d038338,-0.853833,0.938351
Zm00001d038863,C1-C2+,Zm00001d018806,-0.823852,0.926247
Zm00001d038863,C1-C2+,Zm00001d025896,-0.752829,0.975840
Zm00001d047878,C1-C2+,Zm00001d005029,-0.819079,0.904915
Zm00001d047878,C1-C2+,Zm00001d029242,-0.760717,0.931062
Zm00001d017677,C1-C2+,Zm00001d025477,-0.751489,0.858363
Zm00001d017677,C1-C2+,Zm00001d005029,-0.782809,0.855016
Zm00001d017677,C1-C2+,Zm00001d029242,-0.769474,0.860011
Zm00001d044546,C1-C2+,Zm00001d038863,-0.761425,0.952666
Zm00001d039383,C1-C2+,Zm00001d025141,-0.786488,0.976882
Zm00001d039383,C1-C2+,Zm00001d038863,-0.828538,0.953538
Zm00001d039383,C1-C2+,Zm00001d012255,-0.810204,0.944375
Zm00001d039383,C1-C2+,Zm00001d029505,-0.822271,0.872747
Zm00001d039383,C1-C2+,Zm00001d035457,-0.802469,0.899652
Zm00001d005871,C1-C2+,Zm00001d025477,-0.773212,0.854082
Zm00001d005871,C1-C2+,Zm00001d014201,-0.774034,0.859880
Zm00001d021386,C1-C2+,Zm00001d025477,-0.789484,0.904599
Zm00001d021386,C1-C2+,Zm00001d051239,-0.776518,0.885274
Zm00001d021386,C1-C2+,Zm00001d016052,-0.770809,0.844527
Zm00001d028537,C1-C2+,Zm00001d025141,-0.795139,0.941408
Zm00001d028537,C1-C2+,Zm00001d038863,-0.775364,0.891327
Zm00001d028537,C1-C2+,Zm00001d005029,-0.806039,0.897686
Zm00001d028537,C1-C2+,Zm00001d012255,-0.790282,0.916630
Zm00001d036297,C1-C2+,Zm00001d025141,-0.752087,0.853186
Zm00001d036297,C1-C2+,Zm00001d015487,-0.772749,0.874440
Zm00001d044261,C1-C2+,Zm00001d008919,-0.774789,0.860414
Zm00001d047976,C1-C2+,Zm00001d014201,-0.754407,0.844206
Zm00001d053682,C1-C2+,Zm00001d049991,-0.790334,0.913549
Zm00001d045661,C1-C2+,Zm00001d038863,-0.750180,0.952083
Zm00001d003162,C1-C2+,Zm00001d025141,-0.858062,0.970167
Zm00001d003162,C1-C2+,Zm00001d038863,-0.760138,0.961451
Zm00001d003162,C1-C2+,Zm00001d012703,-0.859519,0.870834
Zm00001d003162,C1-C2+,Zm00001d012255,-0.846910,0.953965
