TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C1-C20,Zm00001d015521,-0.768550,-0.157682
Zm00001d052405,C1-C20,Zm00001d020932,-0.785901,-0.488042
Zm00001d052405,C1-C20,Zm00001d013232,-0.832845,-0.472774
Zm00001d052405,C1-C20,Zm00001d038863,-0.751264,-0.040144
Zm00001d052405,C1-C20,Zm00001d018967,-0.814316,-0.226588
Zm00001d052405,C1-C20,Zm00001d053195,-0.793961,-0.468784
Zm00001d052405,C1-C20,Zm00001d018698,-0.819753,-0.254150
Zm00001d052405,C1-C20,Zm00001d041883,-0.753275,-0.322791
Zm00001d052405,C1-C20,Zm00001d033706,-0.759680,-0.101107
Zm00001d052405,C1-C20,Zm00001d013451,-0.823401,-0.147662
Zm00001d052405,C1-C20,Zm00001d048601,-0.765650,-0.144878
Zm00001d052405,C1-C20,Zm00001d023332,-0.760772,-0.473418
Zm00001d010987,C1-C20,Zm00001d021790,-0.783188,-0.445051
Zm00001d010987,C1-C20,Zm00001d050018,-0.776688,-0.477090
Zm00001d010987,C1-C20,Zm00001d002945,-0.756424,0.248421
Zm00001d032144,C1-C20,Zm00001d048901,-0.769085,-0.107515
Zm00001d032144,C1-C20,Zm00001d005029,-0.760940,-0.035217
Zm00001d032144,C1-C20,Zm00001d033335,-0.805710,-0.073592
Zm00001d032144,C1-C20,Zm00001d010233,-0.906746,-0.257867
Zm00001d024468,C1-C20,Zm00001d005016,-0.789479,-0.453188
Zm00001d024468,C1-C20,Zm00001d023882,-0.798997,-0.183552
Zm00001d024468,C1-C20,Zm00001d039271,-0.755923,-0.032619
Zm00001d024468,C1-C20,Zm00001d029339,-0.813982,-0.462421
Zm00001d024468,C1-C20,Zm00001d036736,-0.768953,-0.396042
Zm00001d024468,C1-C20,Zm00001d013074,-0.760784,-0.323213
Zm00001d024468,C1-C20,Zm00001d004857,-0.759794,-0.473579
Zm00001d024468,C1-C20,Zm00001d050730,-0.766028,-0.462987
Zm00001d024468,C1-C20,Zm00001d001933,-0.759250,-0.488356
Zm00001d024468,C1-C20,Zm00001d023465,-0.771181,-0.421450
Zm00001d024468,C1-C20,Zm00001d028017,-0.753453,0.161907
Zm00001d024468,C1-C20,Zm00001d048208,-0.850099,-0.073142
Zm00001d024468,C1-C20,Zm00001d038320,-0.790549,-0.294281
Zm00001d024468,C1-C20,Zm00001d016520,-0.803044,-0.341858
Zm00001d024468,C1-C20,Zm00001d033204,-0.886758,-0.095290
Zm00001d024468,C1-C20,Zm00001d010322,-0.805537,-0.367298
Zm00001d024468,C1-C20,Zm00001d001837,-0.764653,-0.476638
Zm00001d024468,C1-C20,Zm00001d000184,-0.797916,-0.448086
Zm00001d024468,C1-C20,Zm00001d032328,-0.857047,0.021895
Zm00001d024468,C1-C20,Zm00001d050242,-0.779991,-0.443608
Zm00001d018050,C1-C20,Zm00001d049800,-0.755344,0.324487
Zm00001d018050,C1-C20,Zm00001d006564,-0.778645,-0.075931
Zm00001d018050,C1-C20,Zm00001d026543,-0.790421,0.044608
Zm00001d018050,C1-C20,Zm00001d046740,-0.784751,0.486903
Zm00001d018050,C1-C20,Zm00001d042363,-0.767821,0.226190
Zm00001d018050,C1-C20,Zm00001d034605,-0.755790,-0.284955
Zm00001d018050,C1-C20,Zm00001d041397,-0.770864,-0.138525
Zm00001d020540,C1-C20,Zm00001d020932,-0.777213,-0.427212
Zm00001d020540,C1-C20,Zm00001d028297,-0.779251,-0.355317
Zm00001d020540,C1-C20,Zm00001d006022,-0.764586,0.073208
Zm00001d020540,C1-C20,Zm00001d018967,-0.784756,0.451985
Zm00001d020540,C1-C20,Zm00001d052725,-0.822525,-0.222936
Zm00001d020540,C1-C20,Zm00001d021932,-0.777751,0.076236
Zm00001d020540,C1-C20,Zm00001d022427,-0.777667,-0.277377
Zm00001d020540,C1-C20,Zm00001d053195,-0.756022,-0.229609
Zm00001d020540,C1-C20,Zm00001d005798,-0.782190,-0.423508
Zm00001d020540,C1-C20,Zm00001d007962,-0.771660,-0.327459
Zm00001d020540,C1-C20,Zm00001d033706,-0.780584,0.473400
Zm00001d020540,C1-C20,Zm00001d013451,-0.807388,0.370888
Zm00001d020540,C1-C20,Zm00001d011691,-0.751943,-0.410722
Zm00001d020540,C1-C20,Zm00001d053890,-0.756415,-0.205931
Zm00001d020540,C1-C20,Zm00001d011843,-0.757239,-0.042378
Zm00001d020540,C1-C20,Zm00001d015412,-0.753224,0.196649
Zm00001d020540,C1-C20,Zm00001d050583,-0.802132,-0.385660
Zm00001d020540,C1-C20,Zm00001d023332,-0.775172,-0.095759
Zm00001d020540,C1-C20,Zm00001d038843,-0.752871,0.130986
Zm00001d028919,C1-C20,Zm00001d048046,-0.870858,-0.098269
Zm00001d028919,C1-C20,Zm00001d024229,-0.851619,0.213056
Zm00001d028919,C1-C20,Zm00001d021927,-0.798662,-0.433633
Zm00001d028919,C1-C20,Zm00001d043699,-0.805998,-0.232610
Zm00001d028919,C1-C20,Zm00001d039383,-0.768316,-0.353057
Zm00001d028919,C1-C20,Zm00001d012092,-0.796069,-0.409282
Zm00001d028919,C1-C20,Zm00001d010842,-0.763328,0.401573
Zm00001d028919,C1-C20,Zm00001d004541,-0.800061,-0.484191
Zm00001d028919,C1-C20,Zm00001d053841,-0.822578,-0.498318
Zm00001d028919,C1-C20,Zm00001d003958,-0.754056,-0.496314
Zm00001d028919,C1-C20,Zm00001d003162,-0.828053,-0.358221
Zm00001d028919,C1-C20,Zm00001d037461,-0.783344,-0.331644
Zm00001d028919,C1-C20,Zm00001d025957,-0.795101,-0.444832
Zm00001d028919,C1-C20,Zm00001d012963,-0.759916,-0.490645
Zm00001d028919,C1-C20,Zm00001d010740,-0.867074,-0.317424
Zm00001d028919,C1-C20,Zm00001d018191,-0.762107,0.043033
Zm00001d028919,C1-C20,Zm00001d026485,-0.882602,-0.380618
Zm00001d028919,C1-C20,Zm00001d017165,-0.794582,-0.168559
Zm00001d028919,C1-C20,Zm00001d014701,-0.824604,-0.357946
Zm00001d028919,C1-C20,Zm00001d038546,-0.754411,-0.459073
Zm00001d028919,C1-C20,Zm00001d029020,-0.829613,0.370497
Zm00001d028919,C1-C20,Zm00001d053298,-0.794815,-0.435102
Zm00001d028919,C1-C20,Zm00001d015965,-0.809936,-0.431740
Zm00001d028919,C1-C20,Zm00001d002718,-0.844750,-0.389285
Zm00001d028919,C1-C20,Zm00001d038811,-0.810119,-0.277097
Zm00001d028919,C1-C20,Zm00001d002241,-0.842374,0.117433
Zm00001d028919,C1-C20,Zm00001d044463,-0.797027,-0.237511
Zm00001d028919,C1-C20,Zm00001d025128,-0.750153,-0.478805
Zm00001d028919,C1-C20,Zm00001d010329,-0.852234,-0.471544
Zm00001d028919,C1-C20,Zm00001d042287,-0.783801,-0.147260
Zm00001d028919,C1-C20,Zm00001d042910,-0.813555,0.454751
Zm00001d028919,C1-C20,Zm00001d018776,-0.805648,-0.403823
Zm00001d028919,C1-C20,Zm00001d047960,-0.784350,0.066406
Zm00001d028919,C1-C20,Zm00001d031454,-0.755590,-0.403144
Zm00001d028919,C1-C20,Zm00001d003496,-0.845497,-0.432349
Zm00001d028919,C1-C20,Zm00001d009017,-0.790846,0.062541
Zm00001d028919,C1-C20,Zm00001d004875,-0.760858,0.061002
Zm00001d028919,C1-C20,Zm00001d018806,-0.804846,-0.404225
Zm00001d028919,C1-C20,Zm00001d004851,-0.808475,-0.013929
Zm00001d028919,C1-C20,Zm00001d002424,-0.772358,-0.113625
Zm00001d028919,C1-C20,Zm00001d053178,-0.801570,-0.045554
Zm00001d028919,C1-C20,Zm00001d006702,-0.811991,-0.461641
Zm00001d028919,C1-C20,Zm00001d013409,-0.788202,-0.446333
Zm00001d002025,C1-C20,Zm00001d047216,-0.836237,-0.411890
Zm00001d002025,C1-C20,Zm00001d043699,-0.793656,-0.359708
Zm00001d002025,C1-C20,Zm00001d017804,-0.827055,-0.112923
Zm00001d002025,C1-C20,Zm00001d039383,-0.803940,-0.426121
Zm00001d002025,C1-C20,Zm00001d003162,-0.767029,-0.400391
Zm00001d002025,C1-C20,Zm00001d010740,-0.791413,-0.374704
Zm00001d002025,C1-C20,Zm00001d002439,-0.859630,0.009948
Zm00001d002025,C1-C20,Zm00001d015965,-0.764543,-0.496115
Zm00001d002025,C1-C20,Zm00001d002718,-0.819852,-0.304543
Zm00001d002025,C1-C20,Zm00001d011070,-0.759721,-0.450259
Zm00001d002025,C1-C20,Zm00001d038811,-0.785347,-0.310209
Zm00001d002025,C1-C20,Zm00001d002241,-0.815140,0.080898
Zm00001d002025,C1-C20,Zm00001d037159,-0.851331,-0.324758
Zm00001d002025,C1-C20,Zm00001d050897,-0.766355,-0.252001
Zm00001d002025,C1-C20,Zm00001d050234,-0.751175,-0.463201
Zm00001d002025,C1-C20,Zm00001d006629,-0.809441,-0.499664
Zm00001d002025,C1-C20,Zm00001d038338,-0.798460,-0.467005
Zm00001d002025,C1-C20,Zm00001d047960,-0.795802,0.192245
Zm00001d002025,C1-C20,Zm00001d031454,-0.796465,-0.387421
