TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C1+C20,Zm00001d020540,0.919175,0.386029
Zm00001d052405,C1+C20,Zm00001d046621,0.903958,0.423848
Zm00001d052405,C1+C20,Zm00001d000358,0.888801,0.415920
Zm00001d052405,C1+C20,Zm00001d011745,0.912063,0.399308
Zm00001d052405,C1+C20,Zm00001d027939,0.957501,0.437895
Zm00001d052405,C1+C20,Zm00001d048244,0.926894,0.421793
Zm00001d052405,C1+C20,Zm00001d005939,0.852999,0.360212
Zm00001d052405,C1+C20,Zm00001d043248,0.915573,0.334144
Zm00001d052405,C1+C20,Zm00001d043706,0.891004,0.093654
Zm00001d052405,C1+C20,Zm00001d052038,0.941870,0.215931
Zm00001d052405,C1+C20,Zm00001d021164,0.945664,0.311144
Zm00001d052405,C1+C20,Zm00001d007382,0.884298,0.332734
Zm00001d052405,C1+C20,Zm00001d009778,0.867129,0.322185
Zm00001d052405,C1+C20,Zm00001d046096,0.947727,0.395830
Zm00001d052405,C1+C20,Zm00001d031759,0.896161,0.468194
Zm00001d052405,C1+C20,Zm00001d047968,0.875361,0.381005
Zm00001d052405,C1+C20,Zm00001d005566,0.855849,0.446820
Zm00001d052405,C1+C20,Zm00001d050038,0.848541,0.231390
Zm00001d052405,C1+C20,Zm00001d037327,0.887804,0.132037
Zm00001d052405,C1+C20,Zm00001d045661,0.879531,0.167511
Zm00001d052405,C1+C20,Zm00001d018930,0.943428,0.442129
Zm00001d052405,C1+C20,Zm00001d017412,0.894034,0.348701
Zm00001d052405,C1+C20,Zm00001d013724,0.925835,0.340663
Zm00001d052405,C1+C20,Zm00001d047802,0.932418,0.321599
Zm00001d052405,C1+C20,Zm00001d017986,0.934738,0.456117
Zm00001d052405,C1+C20,Zm00001d003871,0.869224,0.225633
Zm00001d052405,C1+C20,Zm00001d039260,0.858953,0.362324
Zm00001d052405,C1+C20,Zm00001d029896,0.878901,0.474141
Zm00001d052405,C1+C20,Zm00001d016361,0.931457,0.436431
Zm00001d052405,C1+C20,Zm00001d046354,0.917820,0.300858
Zm00001d052405,C1+C20,Zm00001d006744,0.870248,0.230136
Zm00001d052405,C1+C20,Zm00001d021998,0.940428,0.491362
Zm00001d052405,C1+C20,Zm00001d045507,0.974478,0.447424
Zm00001d052405,C1+C20,Zm00001d015815,0.862165,0.202596
Zm00001d052405,C1+C20,Zm00001d046405,0.904287,0.393668
Zm00001d052405,C1+C20,Zm00001d051749,0.952016,0.244235
Zm00001d052405,C1+C20,Zm00001d045398,0.868238,0.272714
Zm00001d052405,C1+C20,Zm00001d043946,0.885326,0.468818
Zm00001d052405,C1+C20,Zm00001d029270,0.846341,0.484019
Zm00001d052405,C1+C20,Zm00001d028217,0.845236,0.297800
Zm00001d052405,C1+C20,Zm00001d020457,0.848276,0.337618
Zm00001d052405,C1+C20,Zm00001d037118,0.861481,0.077739
Zm00001d052405,C1+C20,Zm00001d004744,0.884638,0.257641
Zm00001d052405,C1+C20,Zm00001d045560,0.850410,0.101481
Zm00001d052405,C1+C20,Zm00001d050400,0.934948,0.312369
Zm00001d052405,C1+C20,Zm00001d048623,0.921263,0.361849
Zm00001d052405,C1+C20,Zm00001d016814,0.843236,0.350859
Zm00001d052405,C1+C20,Zm00001d045463,0.924264,0.167885
Zm00001d052405,C1+C20,Zm00001d021573,0.867375,0.384384
Zm00001d052405,C1+C20,Zm00001d046906,0.903588,0.423069
Zm00001d052405,C1+C20,Zm00001d036692,0.949644,0.446851
Zm00001d052405,C1+C20,Zm00001d033898,0.894986,0.224753
Zm00001d052405,C1+C20,Zm00001d043423,0.889663,0.315477
Zm00001d052405,C1+C20,Zm00001d043368,0.862321,0.365302
Zm00001d052405,C1+C20,Zm00001d038683,0.915529,0.464063
Zm00001d052405,C1+C20,Zm00001d036148,0.908569,0.492252
Zm00001d052405,C1+C20,Zm00001d024323,0.945116,0.417368
Zm00001d052405,C1+C20,Zm00001d003331,0.897791,0.454995
Zm00001d052405,C1+C20,Zm00001d018829,0.851582,0.461077
Zm00001d052405,C1+C20,Zm00001d049000,0.927724,0.316525
Zm00001d052405,C1+C20,Zm00001d044662,0.969124,0.101585
Zm00001d010987,C1+C20,Zm00001d038698,0.864698,0.486371
Zm00001d010987,C1+C20,Zm00001d006677,0.880485,-0.206926
Zm00001d010987,C1+C20,Zm00001d051509,0.884946,-0.195733
Zm00001d010987,C1+C20,Zm00001d047017,0.897936,0.492148
Zm00001d010987,C1+C20,Zm00001d003392,0.883048,0.260309
Zm00001d010987,C1+C20,Zm00001d031416,0.948241,0.231678
Zm00001d010987,C1+C20,Zm00001d052883,0.891377,0.003609
Zm00001d010987,C1+C20,Zm00001d053908,0.873680,-0.143808
Zm00001d010987,C1+C20,Zm00001d032741,0.859184,-0.205741
Zm00001d010987,C1+C20,Zm00001d039324,0.939835,0.058994
Zm00001d010987,C1+C20,Zm00001d012585,0.896309,0.406809
Zm00001d010987,C1+C20,Zm00001d021826,0.847727,-0.318148
Zm00001d010987,C1+C20,Zm00001d033680,0.860386,-0.228289
Zm00001d010987,C1+C20,Zm00001d018260,0.872227,-0.111282
Zm00001d010987,C1+C20,Zm00001d022227,0.852304,0.462439
Zm00001d010987,C1+C20,Zm00001d018742,0.841961,0.259640
Zm00001d032144,C1+C20,Zm00001d048229,0.935515,-0.107188
Zm00001d032144,C1+C20,Zm00001d018056,0.845502,0.232880
Zm00001d032144,C1+C20,Zm00001d024783,0.889131,0.469056
Zm00001d032144,C1+C20,Zm00001d046402,0.853375,-0.438803
Zm00001d032144,C1+C20,Zm00001d026628,0.850679,-0.137242
Zm00001d032144,C1+C20,Zm00001d006195,0.893187,0.404699
Zm00001d032144,C1+C20,Zm00001d002754,0.893861,0.322874
Zm00001d032144,C1+C20,Zm00001d028129,0.917077,-0.104809
Zm00001d032144,C1+C20,Zm00001d039694,0.840483,0.049824
Zm00001d032144,C1+C20,Zm00001d043837,0.906281,-0.071127
Zm00001d032144,C1+C20,Zm00001d011614,0.865036,-0.012830
Zm00001d032144,C1+C20,Zm00001d011297,0.882599,-0.135181
Zm00001d032144,C1+C20,Zm00001d021424,0.850216,0.345261
Zm00001d032144,C1+C20,Zm00001d008817,0.840790,-0.090254
Zm00001d032144,C1+C20,Zm00001d038907,0.925141,0.256825
Zm00001d032144,C1+C20,Zm00001d016755,0.863886,-0.103182
Zm00001d024468,C1+C20,Zm00001d002562,0.913995,0.236807
Zm00001d024468,C1+C20,Zm00001d006677,0.863986,-0.333724
Zm00001d024468,C1+C20,Zm00001d032213,0.900201,-0.118011
Zm00001d024468,C1+C20,Zm00001d012067,0.895365,0.322423
Zm00001d024468,C1+C20,Zm00001d021386,0.881329,-0.266540
Zm00001d024468,C1+C20,Zm00001d008356,0.854289,0.483438
Zm00001d024468,C1+C20,Zm00001d002079,0.866842,-0.225420
Zm00001d024468,C1+C20,Zm00001d012585,0.851342,0.336734
Zm00001d024468,C1+C20,Zm00001d032249,0.905917,-0.098477
Zm00001d024468,C1+C20,Zm00001d047081,0.849492,0.145928
Zm00001d024468,C1+C20,Zm00001d021236,0.878508,0.196962
Zm00001d024468,C1+C20,Zm00001d005951,0.882035,0.392650
Zm00001d024468,C1+C20,Zm00001d031745,0.853334,-0.075099
Zm00001d024468,C1+C20,Zm00001d022295,0.850628,0.396614
Zm00001d024468,C1+C20,Zm00001d042560,0.879740,0.072887
Zm00001d024468,C1+C20,Zm00001d021056,0.855366,-0.234451
Zm00001d024468,C1+C20,Zm00001d012015,0.867961,0.369312
Zm00001d024468,C1+C20,Zm00001d006451,0.858377,-0.211996
Zm00001d024468,C1+C20,Zm00001d021285,0.918533,0.338639
Zm00001d024468,C1+C20,Zm00001d034353,0.871092,-0.190688
Zm00001d024468,C1+C20,Zm00001d005757,0.841711,0.255782
Zm00001d018050,C1+C20,Zm00001d025235,0.858145,-0.321930
Zm00001d018050,C1+C20,Zm00001d034282,0.891563,0.008233
Zm00001d018050,C1+C20,Zm00001d026301,0.859300,0.160733
Zm00001d018050,C1+C20,Zm00001d044602,0.907975,0.484990
Zm00001d018050,C1+C20,Zm00001d042910,0.868691,0.356195
Zm00001d018050,C1+C20,Zm00001d035470,0.877149,0.487267
Zm00001d018050,C1+C20,Zm00001d034033,0.918947,0.489241
Zm00001d018050,C1+C20,Zm00001d050023,0.938079,0.361939
Zm00001d018050,C1+C20,Zm00001d029564,0.933581,0.412232
Zm00001d020540,C1+C20,Zm00001d052405,0.919175,0.386029
Zm00001d020540,C1+C20,Zm00001d027939,0.896932,0.362054
Zm00001d020540,C1+C20,Zm00001d026120,0.861997,0.406393
Zm00001d020540,C1+C20,Zm00001d046096,0.872163,0.450430
Zm00001d020540,C1+C20,Zm00001d007768,0.848221,0.272148
Zm00001d020540,C1+C20,Zm00001d031009,0.895332,0.398135
Zm00001d020540,C1+C20,Zm00001d044646,0.952590,0.487867
Zm00001d020540,C1+C20,Zm00001d006298,0.864415,0.485245
Zm00001d020540,C1+C20,Zm00001d017555,0.841615,0.494182
Zm00001d020540,C1+C20,Zm00001d016082,0.883377,0.465656
Zm00001d020540,C1+C20,Zm00001d006306,0.851676,0.483809
Zm00001d020540,C1+C20,Zm00001d021968,0.972362,0.452522
Zm00001d020540,C1+C20,Zm00001d050897,0.920983,0.005682
Zm00001d020540,C1+C20,Zm00001d036551,0.858663,0.028938
Zm00001d020540,C1+C20,Zm00001d037118,0.849337,-0.086796
Zm00001d020540,C1+C20,Zm00001d037836,0.955580,0.488007
Zm00001d020540,C1+C20,Zm00001d039306,0.965673,0.451196
Zm00001d020540,C1+C20,Zm00001d009090,0.937946,0.367735
Zm00001d020540,C1+C20,Zm00001d013501,0.907984,0.384437
Zm00001d020540,C1+C20,Zm00001d036648,0.870592,0.148608
Zm00001d028919,C1+C20,Zm00001d007840,0.950517,0.210904
Zm00001d028919,C1+C20,Zm00001d031441,0.950084,-0.101954
Zm00001d028919,C1+C20,Zm00001d034091,0.870480,0.252594
Zm00001d028919,C1+C20,Zm00001d042263,0.874716,0.232429
Zm00001d028919,C1+C20,Zm00001d004897,0.946920,0.350638
Zm00001d028919,C1+C20,Zm00001d051739,0.914198,-0.027526
Zm00001d028919,C1+C20,Zm00001d024160,0.900479,0.361000
Zm00001d028919,C1+C20,Zm00001d012294,0.971952,0.344549
Zm00001d028919,C1+C20,Zm00001d018178,0.873496,0.082488
Zm00001d028919,C1+C20,Zm00001d012968,0.936189,0.323414
Zm00001d028919,C1+C20,Zm00001d028139,0.947681,0.258116
Zm00001d028919,C1+C20,Zm00001d043243,0.905256,0.211061
Zm00001d028919,C1+C20,Zm00001d012605,0.967424,0.189178
Zm00001d028919,C1+C20,Zm00001d006682,0.859897,-0.238364
Zm00001d028919,C1+C20,Zm00001d007107,0.966789,0.421863
Zm00001d028919,C1+C20,Zm00001d051047,0.916177,0.307815
Zm00001d028919,C1+C20,Zm00001d017176,0.883038,0.205815
Zm00001d028919,C1+C20,Zm00001d046925,0.944985,0.175422
Zm00001d028919,C1+C20,Zm00001d045735,0.913104,0.454492
Zm00001d028919,C1+C20,Zm00001d010713,0.900298,0.159206
Zm00001d028919,C1+C20,Zm00001d051018,0.921279,0.289440
Zm00001d028919,C1+C20,Zm00001d012703,0.951310,-0.114543
Zm00001d028919,C1+C20,Zm00001d024324,0.930369,0.384086
Zm00001d028919,C1+C20,Zm00001d027929,0.966513,0.133820
Zm00001d028919,C1+C20,Zm00001d028017,0.903659,0.114713
Zm00001d028919,C1+C20,Zm00001d026486,0.871227,0.192427
Zm00001d028919,C1+C20,Zm00001d049889,0.898318,0.466122
Zm00001d028919,C1+C20,Zm00001d026271,0.945367,0.093118
Zm00001d028919,C1+C20,Zm00001d002364,0.866749,0.482371
Zm00001d028919,C1+C20,Zm00001d017592,0.869881,0.421672
Zm00001d028919,C1+C20,Zm00001d038585,0.935010,-0.042556
Zm00001d028919,C1+C20,Zm00001d037941,0.895030,-0.121738
Zm00001d028919,C1+C20,Zm00001d026106,0.950982,0.062503
Zm00001d028919,C1+C20,Zm00001d002649,0.973865,0.011853
Zm00001d028919,C1+C20,Zm00001d034751,0.910510,0.235524
Zm00001d028919,C1+C20,Zm00001d002811,0.869084,0.350712
Zm00001d028919,C1+C20,Zm00001d029287,0.902892,0.192074
Zm00001d028919,C1+C20,Zm00001d047421,0.886760,0.413536
Zm00001d028919,C1+C20,Zm00001d013465,0.916258,-0.086886
Zm00001d028919,C1+C20,Zm00001d042127,0.893595,-0.196831
Zm00001d028919,C1+C20,Zm00001d002429,0.952826,0.416616
Zm00001d028919,C1+C20,Zm00001d035965,0.855583,-0.000702
Zm00001d028919,C1+C20,Zm00001d020046,0.922676,0.451498
Zm00001d028919,C1+C20,Zm00001d032316,0.919334,0.124019
Zm00001d028919,C1+C20,Zm00001d017422,0.859207,0.480701
Zm00001d028919,C1+C20,Zm00001d051861,0.848772,0.224249
Zm00001d028919,C1+C20,Zm00001d043536,0.942206,0.459264
Zm00001d028919,C1+C20,Zm00001d016585,0.886942,0.155224
Zm00001d028919,C1+C20,Zm00001d007891,0.938333,0.049133
Zm00001d028919,C1+C20,Zm00001d002843,0.885018,0.265919
Zm00001d028919,C1+C20,Zm00001d042665,0.926056,0.193676
Zm00001d028919,C1+C20,Zm00001d011645,0.898717,-0.232723
Zm00001d028919,C1+C20,Zm00001d008695,0.855467,0.071006
Zm00001d028919,C1+C20,Zm00001d037334,0.914159,0.335224
Zm00001d028919,C1+C20,Zm00001d020947,0.876111,0.231989
