TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C1-C2-,Zm00001d033267,-0.819563,-0.803472
Zm00001d052405,C1-C2-,Zm00001d040455,-0.779856,-0.754895
Zm00001d052405,C1-C2-,Zm00001d008602,-0.764370,-0.825966
Zm00001d052405,C1-C2-,Zm00001d037356,-0.874808,-0.758300
Zm00001d052405,C1-C2-,Zm00001d025720,-0.752930,-0.792280
Zm00001d052405,C1-C2-,Zm00001d006331,-0.757310,-0.789743
Zm00001d052405,C1-C2-,Zm00001d020136,-0.764294,-0.798079
Zm00001d010987,C1-C2-,Zm00001d005244,-0.862149,-0.948252
Zm00001d010987,C1-C2-,Zm00001d020711,-0.811272,-0.812767
Zm00001d010987,C1-C2-,Zm00001d011355,-0.881905,-0.770065
Zm00001d010987,C1-C2-,Zm00001d023465,-0.764174,-0.773909
Zm00001d010987,C1-C2-,Zm00001d002659,-0.949297,-0.778668
Zm00001d024468,C1-C2-,Zm00001d040500,-0.815484,-0.817137
Zm00001d024468,C1-C2-,Zm00001d051739,-0.819667,-0.774682
Zm00001d024468,C1-C2-,Zm00001d019166,-0.799294,-0.782037
Zm00001d024468,C1-C2-,Zm00001d018178,-0.773100,-0.852314
Zm00001d024468,C1-C2-,Zm00001d031790,-0.757091,-0.763984
Zm00001d024468,C1-C2-,Zm00001d039065,-0.840146,-0.815721
Zm00001d024468,C1-C2-,Zm00001d026398,-0.852597,-0.887316
Zm00001d024468,C1-C2-,Zm00001d003616,-0.752937,-0.780301
Zm00001d024468,C1-C2-,Zm00001d037769,-0.812483,-0.893803
Zm00001d024468,C1-C2-,Zm00001d008812,-0.752768,-0.760111
Zm00001d024468,C1-C2-,Zm00001d051047,-0.810448,-0.789866
Zm00001d024468,C1-C2-,Zm00001d017176,-0.824460,-0.773486
Zm00001d024468,C1-C2-,Zm00001d024324,-0.787741,-0.829679
Zm00001d024468,C1-C2-,Zm00001d017592,-0.795199,-0.777958
Zm00001d024468,C1-C2-,Zm00001d038585,-0.800998,-0.783589
Zm00001d024468,C1-C2-,Zm00001d017422,-0.783375,-0.796540
Zm00001d024468,C1-C2-,Zm00001d029934,-0.753878,-0.851161
Zm00001d024468,C1-C2-,Zm00001d016585,-0.820930,-0.776429
Zm00001d024468,C1-C2-,Zm00001d039492,-0.799765,-0.844829
Zm00001d024468,C1-C2-,Zm00001d038288,-0.827323,-0.765628
Zm00001d024468,C1-C2-,Zm00001d006813,-0.809378,-0.782444
Zm00001d024468,C1-C2-,Zm00001d039584,-0.759305,-0.898090
Zm00001d028919,C1-C2-,Zm00001d043922,-0.803480,-0.814978
Zm00001d028919,C1-C2-,Zm00001d012731,-0.770782,-0.758823
Zm00001d028919,C1-C2-,Zm00001d034965,-0.879819,-0.841095
Zm00001d028919,C1-C2-,Zm00001d002562,-0.762164,-0.766695
Zm00001d028919,C1-C2-,Zm00001d047922,-0.819512,-0.777435
Zm00001d028919,C1-C2-,Zm00001d028372,-0.917109,-0.767640
Zm00001d028919,C1-C2-,Zm00001d041142,-0.798922,-0.798208
Zm00001d028919,C1-C2-,Zm00001d050669,-0.857003,-0.772855
Zm00001d028919,C1-C2-,Zm00001d015118,-0.779072,-0.803146
Zm00001d028919,C1-C2-,Zm00001d047967,-0.910445,-0.814883
Zm00001d028919,C1-C2-,Zm00001d005884,-0.751484,-0.816269
Zm00001d028919,C1-C2-,Zm00001d020242,-0.867414,-0.817062
Zm00001d028919,C1-C2-,Zm00001d047209,-0.805664,-0.789925
Zm00001d028919,C1-C2-,Zm00001d041445,-0.791397,-0.802349
Zm00001d028919,C1-C2-,Zm00001d048412,-0.765891,-0.783816
Zm00001d028919,C1-C2-,Zm00001d021799,-0.835617,-0.844554
Zm00001d028919,C1-C2-,Zm00001d043969,-0.750680,-0.804932
Zm00001d028919,C1-C2-,Zm00001d025988,-0.781657,-0.817839
Zm00001d028919,C1-C2-,Zm00001d021973,-0.774362,-0.775280
Zm00001d028919,C1-C2-,Zm00001d007675,-0.845793,-0.885551
Zm00001d028919,C1-C2-,Zm00001d040090,-0.786009,-0.778785
