TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C10C2+,Zm00001d033848,0.281324,0.888853
Zm00001d052405,C10C2+,Zm00001d030577,0.236947,0.861579
Zm00001d052405,C10C2+,Zm00001d004230,0.459737,0.880185
Zm00001d052405,C10C2+,Zm00001d023316,0.480818,0.913672
Zm00001d010987,C10C2+,Zm00001d032683,0.174147,0.851717
Zm00001d010987,C10C2+,Zm00001d014690,0.333615,0.876333
Zm00001d010987,C10C2+,Zm00001d006619,0.356599,0.893167
Zm00001d010987,C10C2+,Zm00001d021831,0.335790,0.896438
Zm00001d010987,C10C2+,Zm00001d006945,0.426675,0.852755
Zm00001d010987,C10C2+,Zm00001d022266,0.472077,0.874755
Zm00001d010987,C10C2+,Zm00001d002241,0.361783,0.864331
Zm00001d032144,C10C2+,Zm00001d032132,0.439231,0.857091
Zm00001d032144,C10C2+,Zm00001d005939,0.413291,0.857550
Zm00001d032144,C10C2+,Zm00001d017563,0.422167,0.857576
Zm00001d032144,C10C2+,Zm00001d039113,0.476379,0.875715
Zm00001d032144,C10C2+,Zm00001d044081,0.428380,0.846894
Zm00001d032144,C10C2+,Zm00001d011748,0.407968,0.862031
Zm00001d032144,C10C2+,Zm00001d025930,0.432103,0.911563
Zm00001d024468,C10C2+,Zm00001d012688,0.421509,0.871262
Zm00001d024468,C10C2+,Zm00001d015965,0.398715,0.865376
Zm00001d024468,C10C2+,Zm00001d018776,0.353336,0.849635
Zm00001d024468,C10C2+,Zm00001d003496,0.369245,0.892038
Zm00001d024468,C10C2+,Zm00001d004033,0.416687,0.857935
Zm00001d018050,C10C2+,Zm00001d002025,-0.191436,0.859379
Zm00001d018050,C10C2+,Zm00001d045477,-0.495250,0.850424
Zm00001d018050,C10C2+,Zm00001d006552,-0.427776,0.866789
Zm00001d018050,C10C2+,Zm00001d039271,-0.362449,0.850031
Zm00001d018050,C10C2+,Zm00001d025727,-0.271531,0.847080
Zm00001d018050,C10C2+,Zm00001d048786,-0.238001,0.898322
Zm00001d018050,C10C2+,Zm00001d054038,-0.428569,0.878710
Zm00001d018050,C10C2+,Zm00001d014995,-0.467650,0.874598
Zm00001d018050,C10C2+,Zm00001d041926,0.293174,0.856694
Zm00001d018050,C10C2+,Zm00001d041831,-0.441716,0.864188
Zm00001d018050,C10C2+,Zm00001d041920,-0.467780,0.867850
Zm00001d018050,C10C2+,Zm00001d049135,-0.448460,0.870973
Zm00001d018050,C10C2+,Zm00001d014795,-0.425873,0.876503
Zm00001d018050,C10C2+,Zm00001d022542,-0.413662,0.850105
Zm00001d018050,C10C2+,Zm00001d007042,-0.389640,0.882031
Zm00001d018050,C10C2+,Zm00001d013074,-0.188024,0.890515
Zm00001d018050,C10C2+,Zm00001d008225,-0.435844,0.861157
Zm00001d018050,C10C2+,Zm00001d004857,-0.453955,0.881542
Zm00001d018050,C10C2+,Zm00001d053162,-0.455104,0.867337
Zm00001d018050,C10C2+,Zm00001d034145,-0.287159,0.877128
Zm00001d018050,C10C2+,Zm00001d007339,-0.229662,0.894106
Zm00001d018050,C10C2+,Zm00001d001933,-0.474313,0.844737
Zm00001d018050,C10C2+,Zm00001d012049,-0.447577,0.902894
Zm00001d018050,C10C2+,Zm00001d031008,-0.470535,0.864554
Zm00001d018050,C10C2+,Zm00001d041444,-0.470626,0.910855
Zm00001d018050,C10C2+,Zm00001d021278,-0.251466,0.900841
Zm00001d018050,C10C2+,Zm00001d036214,-0.349433,0.908850
Zm00001d018050,C10C2+,Zm00001d031278,-0.278973,0.884437
Zm00001d018050,C10C2+,Zm00001d040362,-0.059235,0.842987
Zm00001d018050,C10C2+,Zm00001d001907,-0.460153,0.853237
Zm00001d018050,C10C2+,Zm00001d016535,-0.225446,0.872957
Zm00001d018050,C10C2+,Zm00001d036003,-0.449289,0.859909
Zm00001d018050,C10C2+,Zm00001d010175,-0.235299,0.858269
Zm00001d018050,C10C2+,Zm00001d011785,-0.316888,0.893142
Zm00001d018050,C10C2+,Zm00001d014656,-0.419522,0.892541
Zm00001d018050,C10C2+,Zm00001d036494,-0.491505,0.845964
Zm00001d018050,C10C2+,Zm00001d005865,-0.307667,0.891192
Zm00001d018050,C10C2+,Zm00001d030500,0.260560,0.844907
Zm00001d018050,C10C2+,Zm00001d013346,-0.443177,0.886369
Zm00001d018050,C10C2+,Zm00001d005584,-0.482841,0.861358
Zm00001d018050,C10C2+,Zm00001d016520,-0.393635,0.856022
Zm00001d018050,C10C2+,Zm00001d021263,-0.466010,0.886405
Zm00001d018050,C10C2+,Zm00001d034886,-0.399662,0.881523
Zm00001d018050,C10C2+,Zm00001d012823,-0.061928,0.861313
Zm00001d018050,C10C2+,Zm00001d005888,-0.366181,0.857975
Zm00001d018050,C10C2+,Zm00001d041474,-0.473704,0.882789
Zm00001d018050,C10C2+,Zm00001d039913,-0.381789,0.852297
Zm00001d018050,C10C2+,Zm00001d031268,-0.263978,0.899046
Zm00001d018050,C10C2+,Zm00001d052800,-0.267550,0.859789
Zm00001d018050,C10C2+,Zm00001d013667,-0.188923,0.854900
Zm00001d018050,C10C2+,Zm00001d010322,-0.485570,0.840063
Zm00001d018050,C10C2+,Zm00001d001837,-0.431467,0.870593
Zm00001d018050,C10C2+,Zm00001d024644,-0.456032,0.928171
Zm00001d018050,C10C2+,Zm00001d003284,0.284528,0.923610
Zm00001d018050,C10C2+,Zm00001d014863,-0.470240,0.868635
Zm00001d018050,C10C2+,Zm00001d036632,-0.448755,0.866066
Zm00001d018050,C10C2+,Zm00001d045581,-0.380277,0.852975
Zm00001d018050,C10C2+,Zm00001d046974,-0.412563,0.894933
Zm00001d018050,C10C2+,Zm00001d000184,-0.451322,0.865652
Zm00001d018050,C10C2+,Zm00001d038557,0.195205,0.878144
Zm00001d018050,C10C2+,Zm00001d027510,0.204911,0.885298
