TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d052405,C10C2-,Zm00001d044355,-0.461532,-0.786085
Zm00001d052405,C10C2-,Zm00001d021207,-0.462528,-0.820064
Zm00001d052405,C10C2-,Zm00001d018198,-0.455851,-0.807475
Zm00001d052405,C10C2-,Zm00001d044975,-0.471150,-0.805998
Zm00001d052405,C10C2-,Zm00001d014863,-0.484138,-0.814838
Zm00001d052405,C10C2-,Zm00001d047309,-0.109812,-0.851462
Zm00001d010987,C10C2-,Zm00001d014723,-0.291830,-0.817809
Zm00001d010987,C10C2-,Zm00001d006564,-0.451695,-0.754476
Zm00001d010987,C10C2-,Zm00001d021516,-0.175794,-0.890610
Zm00001d010987,C10C2-,Zm00001d027709,0.020446,-0.773628
Zm00001d010987,C10C2-,Zm00001d037737,-0.480167,-0.780792
Zm00001d010987,C10C2-,Zm00001d049495,-0.453115,-0.772146
Zm00001d010987,C10C2-,Zm00001d049543,-0.222128,-0.757677
Zm00001d010987,C10C2-,Zm00001d010574,0.445611,-0.854442
Zm00001d010987,C10C2-,Zm00001d015549,-0.175915,-0.786190
Zm00001d024468,C10C2-,Zm00001d006022,-0.306975,-0.844768
Zm00001d024468,C10C2-,Zm00001d018967,-0.190329,-0.765981
Zm00001d024468,C10C2-,Zm00001d000344,-0.133857,-0.754945
Zm00001d024468,C10C2-,Zm00001d003755,-0.462190,-0.754148
Zm00001d024468,C10C2-,Zm00001d047339,0.127661,-0.772415
Zm00001d024468,C10C2-,Zm00001d026486,-0.482503,-0.801404
Zm00001d024468,C10C2-,Zm00001d013451,-0.163116,-0.776316
Zm00001d024468,C10C2-,Zm00001d023248,-0.274891,-0.838632
Zm00001d024468,C10C2-,Zm00001d015747,0.165310,-0.796115
Zm00001d024468,C10C2-,Zm00001d029963,-0.473665,-0.817323
Zm00001d024468,C10C2-,Zm00001d034945,-0.249281,-0.774916
Zm00001d024468,C10C2-,Zm00001d024894,-0.405574,-0.880074
Zm00001d024468,C10C2-,Zm00001d026305,-0.214629,-0.797673
Zm00001d024468,C10C2-,Zm00001d023332,0.153986,-0.764958
Zm00001d018050,C10C2-,Zm00001d034204,0.179701,-0.786260
Zm00001d018050,C10C2-,Zm00001d034629,-0.064194,-0.856915
Zm00001d018050,C10C2-,Zm00001d031064,-0.070830,-0.818961
Zm00001d018050,C10C2-,Zm00001d041497,-0.165030,-0.826988
Zm00001d018050,C10C2-,Zm00001d043922,0.170017,-0.838866
Zm00001d018050,C10C2-,Zm00001d012731,0.103371,-0.807412
Zm00001d018050,C10C2-,Zm00001d001945,0.102325,-0.772732
Zm00001d018050,C10C2-,Zm00001d024321,-0.145279,-0.777952
Zm00001d018050,C10C2-,Zm00001d007173,0.405328,-0.789070
Zm00001d018050,C10C2-,Zm00001d038504,0.162780,-0.752329
Zm00001d018050,C10C2-,Zm00001d034965,0.358177,-0.771090
Zm00001d018050,C10C2-,Zm00001d027409,0.485416,-0.755574
Zm00001d018050,C10C2-,Zm00001d002562,0.344535,-0.809467
Zm00001d018050,C10C2-,Zm00001d029749,0.147955,-0.782012
Zm00001d018050,C10C2-,Zm00001d032132,0.175962,-0.791778
Zm00001d018050,C10C2-,Zm00001d036382,0.419909,-0.776773
Zm00001d018050,C10C2-,Zm00001d020763,0.117010,-0.751366
Zm00001d018050,C10C2-,Zm00001d044839,0.466064,-0.791203
Zm00001d018050,C10C2-,Zm00001d000291,0.150610,-0.763091
Zm00001d018050,C10C2-,Zm00001d000236,0.241748,-0.850401
Zm00001d018050,C10C2-,Zm00001d031561,-0.020568,-0.814646
Zm00001d018050,C10C2-,Zm00001d005740,0.094939,-0.772820
Zm00001d018050,C10C2-,Zm00001d005939,-0.004377,-0.797494
Zm00001d018050,C10C2-,Zm00001d040186,0.163371,-0.878294
Zm00001d018050,C10C2-,Zm00001d013357,0.257215,-0.819221
Zm00001d018050,C10C2-,Zm00001d013370,0.361341,-0.781372
