TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d007172,C1+C2-,Zm00001d050310,0.901742,-0.853344
Zm00001d026587,C1+C2-,Zm00001d015765,0.849942,-0.794867
Zm00001d053682,C1+C2-,Zm00001d050310,0.879508,-0.781052
Zm00001d028017,C1+C2-,Zm00001d002649,0.930279,-0.788525
Zm00001d027924,C1+C2-,Zm00001d017385,0.845463,-0.765238
Zm00001d002649,C1+C2-,Zm00001d028017,0.930279,-0.788525
Zm00001d050310,C1+C2-,Zm00001d007172,0.901742,-0.853344
Zm00001d050310,C1+C2-,Zm00001d053682,0.879508,-0.781052
Zm00001d050310,C1+C2-,Zm00001d051879,0.930169,-0.751029
Zm00001d050310,C1+C2-,Zm00001d015410,0.869861,-0.776547
Zm00001d017385,C1+C2-,Zm00001d027924,0.845463,-0.765238
Zm00001d015765,C1+C2-,Zm00001d026587,0.849942,-0.794867
Zm00001d051879,C1+C2-,Zm00001d050310,0.930169,-0.751029
Zm00001d022590,C1+C2-,Zm00001d051114,0.852261,-0.750066
Zm00001d047761,C1+C2-,Zm00001d051114,0.895295,-0.757688
Zm00001d051114,C1+C2-,Zm00001d022590,0.852261,-0.750066
Zm00001d051114,C1+C2-,Zm00001d047761,0.895295,-0.757688
Zm00001d015410,C1+C2-,Zm00001d050310,0.869861,-0.776547
